year,month,day,statefips,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_ss40,emp_ss60,emp_ss65,emp_ss70
2020,1,24,24,0.00043,0.00045,0.00141,0.000607,-0.000774,0.00101,0.00106,-7.29e-05,0.00109,3.1e-06,0.00167,-0.00137
2020,1,24,25,-0.000387,-0.0077,0.00107,0.00206,-0.00234,0.00158,-0.000918,-5.32e-05,-0.00256,0.000828,0.000435,0.00146
2020,1,24,26,-0.00135,-0.00224,-0.00257,0.00167,-0.00268,-0.000533,-0.00242,-0.000121,-0.0024,-0.00228,-0.0026,-0.00138
2020,1,24,27,-0.00101,-0.00182,0.000304,0.00118,-0.00495,0.00077,-0.000391,-0.00147,-0.00363,0.00195,0.0019,-0.00294
2020,1,24,28,0.00368,0.00368,0.00569,0.00544,-0.00291,0.00558,0.00415,0.00225,-0.00123,-0.00283,0.044,-0.0364
2020,1,24,29,-0.0038,-0.00126,-0.00204,-0.0032,-0.01,-0.00263,-0.00168,-0.006,-0.00312,-0.00374,-0.00186,-0.00182
2020,1,24,30,-0.00574,-0.014,-0.00481,-0.00238,-0.00391,-0.00358,-0.00846,-0.00293,0.00297,0.00342,-0.0148,-0.0154
2020,1,24,31,-0.00969,-0.00416,-0.0133,-0.00814,-0.0128,-0.0108,-0.00927,-0.0101,-0.000671,-0.013,-0.0189,-0.000815
2020,1,24,32,0.000662,0.000176,-0.00204,0.00533,-0.000567,0.0013,-0.00103,0.0028,-0.00289,0.00427,0.00104,8.55e-05
2020,1,24,33,0.000303,-0.00387,0.00184,0.00264,-0.002,0.00224,-0.000287,0.000889,-0.00486,0.00595,0.000249,-0.000439
2020,1,24,34,-0.000175,-0.000109,0.000923,-0.000272,-0.00121,0.000316,0.00046,-0.000738,-0.000999,-0.000399,0.00257,0.00109
2020,1,24,35,-0.000565,0.00756,-0.00195,-0.00569,-0.00793,-0.00344,0.00274,-0.00656,0.00954,-0.00503,0.00211,-0.000445
2020,1,24,36,9.32e-05,-0.00336,0.00332,0.000155,-0.0026,0.00185,0.00147,-0.0011,0.00167,-0.000581,-0.0011,0.000966
2020,1,24,37,-0.00101,-0.0041,0.00231,0.0023,-0.00621,0.0023,-0.000915,-0.00114,-0.00119,-0.00798,0.00247,-0.00179
2020,1,24,38,-0.00795,-0.00513,-0.00707,-0.0128,-0.00383,-0.01,-0.00642,-0.00927,-0.00611,-0.0267,-0.00369,-0.17307094682159943
2020,1,24,39,-0.00179,-0.00284,-0.000342,0.000211,-0.00571,-9.04e-05,-0.00161,-0.00206,0.000955,-0.00475,-0.000923,-0.00126
2020,1,24,40,-0.000677,0.00184,-0.00158,-0.000437,-0.00394,-0.00105,0.000139,-0.00181,-0.0033,-0.000132,-0.000175,0.00709
2020,1,24,41,0.00177,-4.32e-05,0.00333,0.0032,-0.00259,0.00327,0.00266,0.000957,0.00256,-0.000691,0.00383,0.0023
2020,1,24,42,-0.00123,0.00166,-0.0035,0.000552,-0.00427,-0.00148,-0.000982,-0.00151,-0.00168,-0.00179,-0.000351,-0.00515
2020,1,24,44,0.000435,4.24e-05,-0.00107,0.00257,4.89e-06,0.000707,-0.000632,0.00154,0.000293,0.00216,0.00342,-0.000655
2020,1,24,45,-0.00107,-0.00175,0.00233,-0.000207,-0.00788,0.00122,0.000376,-0.00322,-0.00417,-0.00203,0.00266,-0.000235
2020,1,24,46,-0.000676,0.0139,-0.00301,0.0145,-0.0381,0.00424,0.00415,-0.00754,-0.038187085440496114,0.00673,-0.07295280555169754,-0.00824
