year,month,day,cityid,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed
2020,2,7,38,0.00506,0.0112,-0.00322,0.00127,0.0133,-0.00115,0.00327,0.00704
2020,2,7,39,0.00348,-0.00501,0.00777,0.000892,0.012,0.00457,0.00152,0.00588
2020,2,7,40,-0.0104,-0.0156,-0.0193,0.00498,-0.013,-0.00727,-0.0176,-0.00265
2020,2,7,41,0.00379,-0.0187,-0.00939,0.0117,0.0123,0.00145,-0.0106,0.012
2020,2,7,42,-0.00594,-0.00685,-0.0132,-0.00641,0.00219,-0.00961,-0.0111,-0.00233
2020,2,7,43,-0.00219,0.00741,0.00104,0.00249,-0.0234,0.00175,0.00366,-0.00828
2020,2,7,44,-0.0017,0.0075,-0.0146,-0.00212,0.00126,-0.00857,-0.0024,-0.000723
2020,2,7,45,-0.09406374840449024,-0.20056608508348797,-0.09716050108851673,-0.04494361716415164,-0.024090612677371174,-0.0752944669423997,-0.13578504345083486,-0.049158480700552065
2020,2,7,46,0.000923,-0.0158,0.0135,0.00937,-0.00309,0.0115,-0.00145,0.00409
2020,2,7,47,0.0205,-0.0151,0.0283,0.0297,-0.00424,0.0288,0.0234,0.0164
2020,2,7,48,-0.127,-0.154,-0.176,-0.0613,-0.0568,-0.147,-0.17,-0.0586
2020,2,7,49,0.0329,0.0334,0.0455,0.0322,0.000465,0.0408,0.0412,0.0191
2020,2,7,50,0.00345,-0.00904,0.0082,0.00317,0.00604,0.00606,0.0026,0.00441
2020,2,7,51,-0.000379,-0.0151,0.00393,-0.00345,0.022,0.000696,-0.00432,0.00543
2020,2,7,52,-0.00657,-0.00375,0.00163,-0.0225,0.000813,-0.00965,-0.000571,-0.0138
2020,2,7,53,-0.00145,-0.00778,-0.000601,0.000229,0.00319,-0.000205,-0.00387,0.00143
2020,2,14,1,0.00253,-0.0419,0.00608,0.00771,0.00306,0.00676,-0.000923,0.00554
2020,2,14,2,0.000675,-0.00237,-0.00525,-0.000747,0.00755,-0.00295,-0.00474,0.00365
2020,2,14,3,-0.00201,-0.00382,-0.00729,-0.00659,0.01,-0.00697,-0.00614,0.00167
2020,2,14,4,0.00119,-0.00797,0.00223,0.0085,0.00163,0.00533,-0.00269,0.00531
2020,2,14,5,0.00711,-0.00798,0.0154,0.00398,0.0129,0.0103,0.00666,0.00765
2020,2,14,6,0.00941,-0.0491,0.0185,0.011,0.0109,0.0153,0.00763,0.0109
2020,2,14,7,0.0112,0.00817,0.00716,0.0128,0.0172,0.00992,0.00767,0.015
2020,2,14,8,-0.00709,-0.00986,-0.0118,-0.00563,0.00397,-0.00907,-0.0108,-0.00166
2020,2,14,9,0.0101,-0.118,0.0199,0.0246,-0.00313,0.0224,0.0077,0.0112
2020,2,14,10,0.0085,0.00596,0.00736,0.0157,0.00404,0.0112,0.00673,0.0106
2020,2,14,11,0.00529,0.000412,0.0016,0.0184,0.0063,0.00855,0.00094,0.0133
2020,2,14,12,0.00235,-0.00372,-0.0113,0.00713,0.00856,-0.00108,-0.0102,0.00789
2020,2,14,13,-0.00201,-0.016,-0.00336,0.0154,0.000664,0.00515,-0.00986,0.00901
2020,2,14,14,0.0101,0.0171,0.0134,-0.00117,0.00732,0.0069,0.0153,0.00279
2020,2,14,15,0.0118,0.0225,0.00961,0.00669,0.00663,0.00818,0.0161,0.00667
2020,2,14,16,0.0118,0.00514,0.0199,0.0102,0.00987,0.0149,0.014,0.01
2020,2,14,17,0.0118,0.0176,0.0103,0.0067,0.013,0.0085,0.0139,0.00939
2020,2,14,18,0.00483,-0.00226,-0.00117,0.00644,0.0195,0.00264,-0.00164,0.0116
2020,2,14,19,-0.00334,-0.0312,0.0141,0.0154,-0.0135,0.0147,-0.00832,0.00392
2020,2,14,20,-0.00133,-0.0144,0.00693,0.00456,0.00256,0.00579,-0.00482,0.00378
2020,2,14,21,0.0105,-0.0242,-0.0109,0.0119,0.0225,0.00248,-0.012,0.0179
2020,2,14,22,0.0125,-0.00487,0.00839,0.0191,0.164,0.0111,-0.00138,-0.049158480700552065
2020,2,14,23,-0.00645,-0.00693,-0.0115,-0.000799,-0.0071,-0.00604,-0.00985,-0.00373
2020,2,14,24,0.00305,-0.0375,-0.00493,0.019,0.00245,0.00688,-0.00985,0.0124
2020,2,14,25,0.00248,-0.0199,0.0103,-0.00297,0.00684,0.00348,0.00253,0.00245
2020,2,14,26,-0.00577,-0.0071,0.00295,-0.0113,-0.00921,-0.00379,-0.0027,-0.0105
2020,2,14,27,0.00382,-0.0146,0.0154,0.00281,0.0109,0.00946,0.00216,0.00589
2020,2,14,28,0.00434,-0.0398,0.00983,0.011,0.000645,0.0106,0.00081,0.00565
2020,2,14,29,0.00787,0.0215,-0.00562,0.0129,0.0117,0.00386,-0.00212,0.0122
2020,2,14,30,0.012,0.00269,0.00245,0.0174,0.0257,0.0099,0.00255,0.021
2020,2,14,31,0.00212,-0.00327,0.00747,0.00468,0.000233,0.00608,0.0015,0.00299
2020,2,14,32,0.00826,-0.0184,0.0325,0.0304,-0.0181,0.0317,0.00624,0.0123
2020,2,14,33,0.0102,-0.0106,0.0179,0.0255,-0.00137,0.0209,0.00705,0.015
2020,2,14,34,0.0175,-0.0349,0.0285,0.0137,0.0166,0.0233,0.0195,0.0147
2020,2,14,35,0.0158,0.0155,0.0187,0.0189,0.0086,0.0188,0.0183,0.0141
2020,2,14,36,-0.000933,-0.0204,0.00298,-0.0042,0.0109,-0.000922,-0.00707,0.0035
2020,2,14,37,-0.00296,-0.0136,0.00525,0.00819,-0.017,0.00674,-0.00376,-0.00207
2020,2,14,38,0.00738,0.0175,-0.0019,0.00933,0.00656,0.00329,0.00682,0.00801
2020,2,14,39,-0.0026,-0.0341,0.0059,0.00939,0.013,0.00753,-0.0137,0.011
2020,2,14,40,-0.0099,-0.0181,-0.0183,0.00799,-0.0133,-0.00527,-0.0182,-0.00104
2020,2,14,41,0.0032,-0.0275,-0.0143,0.0116,0.0169,-0.000974,-0.0161,0.0142
2020,2,14,42,-0.00568,-0.0147,-0.0134,-0.00467,0.00515,-0.0088,-0.0138,-1.38e-05
2020,2,14,43,-0.00134,0.00806,-0.00136,0.00428,-0.0189,0.00139,0.00252,-0.00537
2020,2,14,44,-0.000695,-0.00225,-0.0241,0.0111,0.0213,-0.00717,-0.0121,0.0153
2020,2,14,45,-0.09406374840449024,-0.20056608508348797,-0.09716050108851673,-0.04494361716415164,-0.024090612677371174,-0.0752944669423997,-0.13578504345083486,-0.049158480700552065
2020,2,14,46,0.00453,-0.0116,0.0107,0.0168,0.00413,0.0136,-0.00066,0.0114
